"","JKSE.Open","JKSE.High","JKSE.Low","JKSE.Close","JKSE.Volume","JKSE.Adjusted"
"4232",5192.346191,5211.996094,5182.345215,5211.996094,86828200,5211.996094
"4233",5179.222168,5194.244141,5102.420898,5107.623047,78976000,5107.623047
"4234",5097.10791,5129.75293,5096.670898,5122.104004,84213300,5122.104004
"4235",5111.423828,5120.861816,5091.609863,5114.571777,121168300,5114.571777
"4236",5108.751953,5164.580078,5108.751953,5136.666992,124696800,5136.666992
"4237",5148.908203,5182.14209,5146.524902,5148.910156,116497500,5148.910156
"4238",5168.633789,5211.921875,5168.068848,5198.754883,109410600,5198.754883
"4239",5207.917969,5250.291992,5199.14209,5245.956055,77029900,5245.956055
"4240",5239.896973,5280.321777,5239.896973,5268.308105,69209000,5268.308105
"4241",5279.983887,5288.914063,5259.193848,5272.964844,66277100,5272.964844
"4242",5272.100098,5273.515137,5229.797852,5265.368164,60338200,5265.368164
"4243",5268.23877,5303.733887,5263.435059,5303.733887,65715900,5303.733887
"4244",5297.549805,5308.125977,5284.766113,5308.125977,49814700,5308.125977
"4245",5296.191895,5300.717773,5264.737793,5293.619141,53794200,5293.619141
"4246",5287.192871,5306.336914,5259.681152,5262.816895,51760500,5262.816895
"4247",5230.564941,5266.061035,5210.632813,5254.361816,64359300,5254.361816
"4248",5260.125977,5263.005859,5231.651855,5231.651855,58386700,5231.651855
"4249",5224.070801,5240.426758,5190.933105,5191.912109,60026700,5191.912109
"4250",5179.182129,5194.729004,5142.393066,5162.477051,71959000,5162.477051
"4251",5179.025879,5188.945801,5111.39209,5111.39209,54114100,5111.39209
"4252",5114.396973,5120.356934,5032.914063,5042.870117,52470700,5042.870117
"4253",5036.288086,5078.230957,5022.848145,5027.704102,51530100,5027.704102
"4254",5028.355957,5112.775879,5028.199219,5102.954102,56151600,5102.954102
"4255",5140.13623,5213.27002,5139.769043,5209.444824,52440100,5209.444824
"4256",5205.270996,5311.615234,5200.265137,5302.565918,54184200,5302.565918
"4257",5307.365234,5334.787109,5296.710938,5296.710938,60042700,5296.710938
"4258",NA,NA,NA,NA,NA,NA
"4259",5290.388184,5292.181152,5246.852051,5275.971191,33217000,5275.971191
"4260",5270.016113,5312.956055,5249.233887,5301.183105,53111300,5301.183105
"4261",5302.632813,5328.490234,5302.632813,5325.503906,77219400,5325.503906
"4262",5321.745117,5350.245117,5318.384766,5347.021973,71615300,5347.021973
"4263",5350.879883,5360.061035,5307.584961,5316.36377,97010200,5316.36377
"4264",5330.015137,5331.132813,5292.062988,5309.923828,70792500,5309.923828
"4265",5316.151855,5322.979004,5301.236816,5301.236816,84703100,5301.236816
"4266",5301.036133,5322.419922,5292.75,5292.75,100764000,5292.75
"4267",5299.050781,5310.419922,5272.98291,5272.98291,70293600,5272.98291
"4268",5283.618164,5291.496094,5270.01123,5270.01123,73077600,5270.01123
"4269",5266.922852,5287.124023,5265.602051,5266.937988,86901800,5266.937988
"4270",5273.293945,5294.78418,5273.293945,5294.78418,113444600,5294.78418
"4271",5302.210938,5309.952148,5288.577148,5298.948242,85392800,5298.948242
"4272",5290.562988,5293.081055,5243.746094,5254.311035,153081800,5254.311035
"4273",5250.634766,5265.442871,5228.286133,5250.967773,147556800,5250.967773
"4274",5267.733887,5297.491211,5267.733887,5292.087891,147150800,5292.087891
"4275",5302.874023,5310.668945,5287.125977,5293.782227,269423400,5293.782227
"4276",5305.11377,5327.509766,5291.436035,5317.632813,190768100,5317.632813
"4277",5304.963867,5321.680176,5297.254883,5312.839844,142739500,5312.839844
"4278",5321.554199,5331.516113,5302.662109,5302.662109,193337900,5302.662109
"4279",5316.668945,5321.35498,5294.103027,5294.103027,191451600,5294.103027
"4280",5319.943848,5341.480957,5317.495117,5327.161133,256731400,5327.161133
"4281",5327.02002,5353.712891,5326.986816,5353.712891,165664500,5353.712891
"4282",5355.271973,5366.443848,5354.589844,5360.76709,13055400,5360.76709
"4283",5369.521973,5395.995117,5369.441895,5395.995117,153355200,5395.995117
"4284",5387.647949,5396.099121,5380.598145,5381.475098,171422900,5381.475098
"4285",5380.109863,5382.073242,5349.462891,5361.087891,325033400,5361.087891
"4286",5366.344238,5384.956055,5363.469238,5372.077148,258337100,5372.077148
"4287",5378.916016,5400.171875,5371.668945,5371.668945,167200000,5371.668945
"4288",5396.562988,5418.375977,5388.678223,5409.556152,182414000,5409.556152
"4289",5402.558105,5409.35498,5370.494141,5380.669922,142907500,5380.669922
"4290",NA,NA,NA,NA,NA,NA
"4291",5389.068848,5395.278809,5357.711914,5377.998047,218393700,5377.998047
"4292",5366.854004,5370.331055,5340.85791,5350.932129,179271900,5350.932129
"4293",5358.551758,5373.091797,5351.018066,5359.288086,107921200,5359.288086
"4294",5363.61377,5375.695801,5336.834961,5340.990234,209661500,5340.990234
"4295",5353.106934,5360.414063,5331.431152,5358.683105,189512900,5358.683105
"4296",5348.358887,5373.638184,5347.85791,5372.748047,174887600,5372.748047
"4297",5371.01709,5391.259766,5370.789063,5385.905762,116360700,5385.905762
"4298",5387.816895,5393.662109,5368.422852,5382.874023,102443500,5382.874023
"4299",5390.342773,5405.790039,5386.691895,5386.691895,82270600,5386.691895
"4300",5389.167969,5392.791992,5350.910156,5363.056152,80795600,5363.056152
"4301",5394.727051,5431.172852,5394.727051,5408.253906,74167000,5408.253906
"4302",5402.580078,5410.902832,5384.789063,5391.214844,106883400,5391.214844
"4303",5398.051758,5409.816895,5386.825195,5409.816895,102030600,5409.816895
"4304",5416.020996,5427.907227,5386.320801,5402.615234,96160400,5402.615234
"4305",5407.529785,5415.230957,5390.006836,5393.76416,72878500,5393.76416
"4306",5393.938965,5405.587891,5386.99707,5402.38623,69424400,5402.38623
"4307",5414.915039,5415.722168,5369.75293,5390.676758,79484800,5390.676758
"4308",5389.201172,5409.37207,5386.342773,5409.37207,70965500,5409.37207
"4309",5415.950195,5449.763184,5412.961914,5431.584961,82241800,5431.584961
"4310",5433.680176,5447.48584,5424.516113,5432.380859,75739600,5432.380859
"4311",5461.912109,5518.241211,5458.419922,5518.241211,79972200,5518.241211
"4312",5539.818848,5557.975098,5499.387207,5540.432129,87948800,5540.432129
"4313",5552.394043,5566.932129,5510.274902,5533.992188,83916000,5533.992188
"4314",5541.045898,5554.443848,5525.977051,5543.092773,78762300,5543.092773
"4315",5512.729004,5534.092773,5486.851074,5534.092773,81597500,5534.092773
"4316",5539.638184,5576.667969,5532.647949,5563.758789,71128500,5563.758789
"4317",5565.624023,5581.183105,5546.832031,5567.133789,64734100,5567.133789
"4318",5557.924805,5567.431152,5531.326172,5541.202148,62855600,5541.202148
"4319",5552.783203,5592.774902,5552.783203,5592.509766,72492200,5592.509766
"4320",5581.116211,5592.952148,5555.367188,5592.952148,98370200,5592.952148
"4321",5589.523926,5606.024902,5568.105957,5568.105957,73764600,5568.105957
"4322",5583.345215,5616.942871,5581.313965,5606.789063,81392100,5606.789063
"4323",5611.665039,5654.398926,5608.523926,5651.823242,106415400,5651.823242
"4324",5668.001953,5676.97998,5644.791992,5676.97998,83898800,5676.97998
"4325",5668.306152,5680.23877,5645.306152,5680.23877,68797100,5680.23877
"4326",5674.01123,5677.717773,5643.350098,5653.48584,64404200,5653.48584
"4327",5662.668945,5677.070801,5628.984863,5644.298828,72743800,5644.298828
"4328",5647.903809,5658.727051,5621.786133,5627.933105,95131900,5627.933105
"4329",5633.975098,5650.035156,5631.74707,5644.154785,84273900,5644.154785
"4330",5658.199219,5660.384766,5613.543945,5616.544922,62159000,5616.544922
"4331",5624.617188,5631.509766,5577.486816,5577.486816,60945800,5577.486816
"4332",5597.666016,5626.523926,5597.168945,5606.51709,69950500,5606.51709
"4333",NA,NA,NA,NA,NA,NA
"4334",5609.89209,5619.36084,5590.030762,5595.306152,73938500,5595.306152
"4335",5600.419922,5664.475098,5599.495117,5664.475098,53480800,5664.475098
"4336",5690.894043,5696.38916,5653.675781,5680.795898,59697700,5680.795898
"4337",5687.080078,5726.529785,5679.594238,5726.529785,65935900,5726.529785
"4338",5708.230957,5718.89502,5697.791016,5707.027832,68662300,5707.027832
"4339",5715.084961,5724.507813,5684.589844,5685.297852,57985100,5685.297852
"4340",5703.867188,5714.344238,5675.808105,5675.808105,57814800,5675.808105
"4341",5681.599121,5686.825195,5647.323242,5647.368164,65683200,5647.368164
"4342",5656.09082,5676.008789,5643.054199,5669.442871,66172000,5669.442871
"4343",5665.106934,5696.476074,5659.96582,5683.376953,75048200,5683.376953
"4344",5699.300781,5727.492188,5692.561035,5707.861816,69605600,5707.861816
"4345",5730.250977,5745.847168,5693.674805,5697.056152,59581000,5697.056152
"4346",5697.956055,5718.586914,5636.204102,5653.007813,73073800,5653.007813
"4347",5680.585938,5698.961914,5668.717773,5675.21582,79691200,5675.21582
"4348",5689.805176,5693.993164,5649.083984,5688.870117,61924800,5688.870117
"4349",5690.297852,5696.623047,5646.999023,5646.999023,54203300,5646.999023
"4350",5661.481934,5664.316895,5608.803223,5615.492188,53254300,5615.492188
"4351",5590.473145,5645.451172,5577.521973,5645.451172,68547400,5645.451172
"4352",5643.537109,5825.208008,5630.071777,5791.883789,70741400,5791.883789
"4353",5837.175781,5874.438965,5743.388184,5749.444824,58742100,5749.444824
"4354",5770.617188,5777.687012,5692.983887,5730.612793,53659300,5730.612793
"4355",5678.393066,5704.706055,5672.042969,5703.433105,59809800,5703.433105
"4356",5713.354004,5728.60498,5703.890137,5716.814941,57655300,5716.814941
"4357",5728.807129,5730.844238,5703.461914,5712.331055,50129600,5712.331055
"4358",5700.773926,5730.056152,5693.391113,5693.391113,62769800,5693.391113
"4359",5697.814941,5738.154785,5697.814941,5738.154785,91263500,5738.154785
"4360",NA,NA,NA,NA,NA,NA
"4361",5749.420898,5752.655762,5726.01416,5742.445801,64775200,5742.445801
"4362",5747.891113,5765.829102,5737.580078,5748.234863,56536500,5748.234863
"4363",5743.39502,5754.293945,5701.658203,5707.831055,61071500,5707.831055
"4364",5716.969238,5735.990234,5709.146973,5717.325195,46852400,5717.325195
"4365",5719.029785,5725.882813,5702.921875,5702.921875,45346000,5702.921875
"4366",5699.253906,5704.861816,5669.873047,5675.522949,51126700,5675.522949
"4367",5668.722168,5716.536133,5668.722168,5691.436035,37789600,5691.436035
"4368",5694.950195,5715.208008,5693.875977,5707.64502,43934000,5707.64502
"4369",5708.065918,5792.896973,5707.918945,5792.896973,49219200,5792.896973
"4370",5776.300781,5791.204102,5768.153809,5776.283203,33694700,5776.283203
"4371",5768.164063,5797.118164,5720.924805,5723.63623,52479900,5723.63623
"4372",5731.076172,5745.567871,5726.76709,5741.90918,55163600,5741.90918
"4373",5749.579102,5791.903809,5747.454102,5791.903809,47631600,5791.903809
"4374",5772.085938,5818.551758,5771.576172,5818.551758,41419800,5818.551758
"4375",5830.978027,5831.339844,5804.603027,5829.708008,36295400,5829.708008
"4376",NA,NA,NA,NA,NA,NA
"4377",NA,NA,NA,NA,NA,NA
"4378",NA,NA,NA,NA,NA,NA
"4379",NA,NA,NA,NA,NA,NA
"4380",NA,NA,NA,NA,NA,NA
"4381",NA,NA,NA,NA,NA,NA
"4382",5846.603027,5910.236816,5831.204102,5910.236816,47327700,5910.236816
"4383",5886.720215,5896.370117,5858.61377,5865.36377,38141000,5865.36377
"4384",5865.424805,5874.685059,5808.345215,5825.054199,45875400,5825.054199
"4385",5817.794922,5852.344238,5817.391113,5849.575195,40285800,5849.575195
"4386",5839.888184,5863.584961,5810.361816,5814.792969,36388600,5814.792969
"4387",5814.792969,5826.313965,5769.338867,5771.505859,29086900,5771.505859
"4388",5772.97998,5784.081055,5765.362793,5773.326172,50424600,5773.326172
"4389",5771.473145,5827.131836,5771.473145,5819.131836,43977100,5819.131836
"4390",5839.397949,5843.175781,5809.401855,5830.043945,41691200,5830.043945
"4391",5827.548828,5833.758789,5804.436035,5831.794922,35734600,5831.794922
"4392",5831.023926,5841.279785,5824.26416,5841.279785,49922900,5841.279785
"4393",5824.932129,5831.693848,5806.603027,5822.352051,53830100,5822.352051
"4394",5822.236816,5822.481934,5797.346191,5806.689941,43518400,5806.689941
"4395",5808.881836,5828.140137,5808.116211,5825.208008,43771900,5825.208008
"4396",5824.525879,5831.462891,5760.958984,5765.423828,40711100,5765.423828
"4397",5760.083984,5801.586914,5756.513184,5801.586914,49340900,5801.586914
"4398",5805.597168,5813.535156,5780.484863,5813.535156,46895400,5813.535156
"4399",5809.893066,5831.640137,5785.899902,5800.206055,56453600,5800.206055
"4400",5807.275879,5820.962891,5805.922852,5819.744141,49848700,5819.744141
"4401",5822.807129,5831.026855,5804.794922,5831.026855,63785400,5831.026855
"4402",5820.01123,5847.245117,5816.529785,5840.938965,52731300,5840.938965
"4403",5853.505859,5858.934082,5805.205078,5805.205078,69809900,5805.205078
"4404",5815.065918,5824.249023,5792.166992,5824.249023,51290400,5824.249023
"4405",5818.555176,5825.051758,5780.576172,5780.576172,44658800,5780.576172
"4406",5775.920898,5800.128906,5769.397949,5777.481934,39744400,5777.481934
"4407",5780.894043,5812.791016,5749.291992,5749.291992,42147500,5749.291992
"4408",5755.044922,5810.562988,5755.044922,5810.562988,48403600,5810.562988
"4409",5813.604004,5824.006836,5792.777832,5824.006836,55021100,5824.006836
"4410",5828.541992,5833.85791,5810.76123,5825.945801,56586000,5825.945801
"4411",5812.246094,5812.905762,5756.462891,5766.138184,55175200,5766.138184
"4412",5780.699219,5812.871094,5780.699219,5801.487793,48743500,5801.487793
"4413",5808.645996,5842.834961,5808.26123,5835.041016,62419400,5835.041016
"4414",5842.560059,5891.949219,5836.147949,5891.949219,57886400,5891.949219
"4415",NA,NA,NA,NA,NA,NA
"4416",5879.679199,5912.116211,5869.131836,5893.84082,46506900,5893.84082
